sample_id,machine_id,image_path,audio_path,temperature_c,vibration_rms_g,rotational_speed_rpm,motor_current_a,hydraulic_pressure_bar,load_percentage,technician_notes,fault_label
machine_asset_05_event_005,machine_asset_05,data\multimodal\images\machine_asset_05_event_005.png,data\multimodal\audio\machine_asset_05_event_005.wav,105.11,6.292,1477.0,8.38,136.22,63.9,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_05_event_006,machine_asset_05,data\multimodal\images\machine_asset_05_event_006.png,data\multimodal\audio\machine_asset_05_event_006.wav,56.02,6.52,1485.3,11.16,137.36,64.4,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_05_event_007,machine_asset_05,data\multimodal\images\machine_asset_05_event_007.png,data\multimodal\audio\machine_asset_05_event_007.wav,52.42,7.077,1486.6,10.84,139.09,66.1,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_05_event_008,machine_asset_05,data\multimodal\images\machine_asset_05_event_008.png,data\multimodal\audio\machine_asset_05_event_008.wav,56.75,9.093,1418.4,9.34,138.76,76.9,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_05_event_009,machine_asset_05,data\multimodal\images\machine_asset_05_event_009.png,data\multimodal\audio\machine_asset_05_event_009.wav,87.55,5.547,1493.3,9.64,138.21,66.1,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_05_event_010,machine_asset_05,data\multimodal\images\machine_asset_05_event_010.png,data\multimodal\audio\machine_asset_05_event_010.wav,51.71,11.618,1410.5,9.39,142.42,68.5,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_05_event_011,machine_asset_05,data\multimodal\images\machine_asset_05_event_011.png,data\multimodal\audio\machine_asset_05_event_011.wav,53.21,6.976,1480.9,10.9,135.52,76.0,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_05_event_012,machine_asset_05,data\multimodal\images\machine_asset_05_event_012.png,data\multimodal\audio\machine_asset_05_event_012.wav,54.58,9.263,1510.9,10.85,141.25,76.3,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_05_event_013,machine_asset_05,data\multimodal\images\machine_asset_05_event_013.png,data\multimodal\audio\machine_asset_05_event_013.wav,101.43,6.418,1503.0,10.53,145.15,65.6,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_05_event_014,machine_asset_05,data\multimodal\images\machine_asset_05_event_014.png,data\multimodal\audio\machine_asset_05_event_014.wav,51.83,1.901,1492.4,10.43,138.75,65.3,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_05_event_015,machine_asset_05,data\multimodal\images\machine_asset_05_event_015.png,data\multimodal\audio\machine_asset_05_event_015.wav,52.62,1.698,1492.7,9.61,139.47,77.9,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_05_event_016,machine_asset_05,data\multimodal\images\machine_asset_05_event_016.png,data\multimodal\audio\machine_asset_05_event_016.wav,49.26,1.916,1482.4,10.83,48.98,72.7,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_05_event_017,machine_asset_05,data\multimodal\images\machine_asset_05_event_017.png,data\multimodal\audio\machine_asset_05_event_017.wav,58.27,11.06,1398.8,9.27,133.28,64.1,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_05_event_018,machine_asset_05,data\multimodal\images\machine_asset_05_event_018.png,data\multimodal\audio\machine_asset_05_event_018.wav,53.77,1.748,1512.1,10.76,130.4,75.6,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_05_event_019,machine_asset_05,data\multimodal\images\machine_asset_05_event_019.png,data\multimodal\audio\machine_asset_05_event_019.wav,49.99,1.519,1492.8,10.67,145.38,73.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_05_event_020,machine_asset_05,data\multimodal\images\machine_asset_05_event_020.png,data\multimodal\audio\machine_asset_05_event_020.wav,52.62,6.602,1476.3,10.49,143.77,67.2,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_05_event_021,machine_asset_05,data\multimodal\images\machine_asset_05_event_021.png,data\multimodal\audio\machine_asset_05_event_021.wav,54.59,12.031,1443.8,9.74,134.2,68.7,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_05_event_022,machine_asset_05,data\multimodal\images\machine_asset_05_event_022.png,data\multimodal\audio\machine_asset_05_event_022.wav,54.31,10.679,1449.0,9.77,137.7,68.9,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_05_event_023,machine_asset_05,data\multimodal\images\machine_asset_05_event_023.png,data\multimodal\audio\machine_asset_05_event_023.wav,57.6,1.223,1485.2,10.64,42.77,69.5,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_05_event_024,machine_asset_05,data\multimodal\images\machine_asset_05_event_024.png,data\multimodal\audio\machine_asset_05_event_024.wav,54.97,9.363,1502.7,10.72,134.47,70.4,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_06_event_000,machine_asset_06,data\multimodal\images\machine_asset_06_event_000.png,data\multimodal\audio\machine_asset_06_event_000.wav,54.21,1.928,1496.6,10.22,139.8,61.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_001,machine_asset_06,data\multimodal\images\machine_asset_06_event_001.png,data\multimodal\audio\machine_asset_06_event_001.wav,54.39,6.94,1481.9,9.25,138.81,65.2,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_06_event_002,machine_asset_06,data\multimodal\images\machine_asset_06_event_002.png,data\multimodal\audio\machine_asset_06_event_002.wav,57.02,7.042,1485.1,10.55,131.83,64.9,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_06_event_003,machine_asset_06,data\multimodal\images\machine_asset_06_event_003.png,data\multimodal\audio\machine_asset_06_event_003.wav,103.08,4.772,1509.4,9.3,140.03,60.5,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_06_event_004,machine_asset_06,data\multimodal\images\machine_asset_06_event_004.png,data\multimodal\audio\machine_asset_06_event_004.wav,48.15,6.675,1507.2,10.18,135.8,74.7,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_06_event_005,machine_asset_06,data\multimodal\images\machine_asset_06_event_005.png,data\multimodal\audio\machine_asset_06_event_005.wav,52.35,2.238,1495.1,10.72,145.99,68.6,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_006,machine_asset_06,data\multimodal\images\machine_asset_06_event_006.png,data\multimodal\audio\machine_asset_06_event_006.wav,57.28,1.849,1497.5,11.01,133.95,68.6,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_007,machine_asset_06,data\multimodal\images\machine_asset_06_event_007.png,data\multimodal\audio\machine_asset_06_event_007.wav,56.46,1.995,1489.1,10.15,46.15,69.5,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_06_event_008,machine_asset_06,data\multimodal\images\machine_asset_06_event_008.png,data\multimodal\audio\machine_asset_06_event_008.wav,52.83,11.117,1440.8,11.48,134.55,72.5,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_06_event_009,machine_asset_06,data\multimodal\images\machine_asset_06_event_009.png,data\multimodal\audio\machine_asset_06_event_009.wav,51.1,1.404,1487.7,11.28,135.27,69.9,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_010,machine_asset_06,data\multimodal\images\machine_asset_06_event_010.png,data\multimodal\audio\machine_asset_06_event_010.wav,52.94,10.823,1446.1,9.77,139.31,80.3,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_06_event_011,machine_asset_06,data\multimodal\images\machine_asset_06_event_011.png,data\multimodal\audio\machine_asset_06_event_011.wav,60.41,7.327,1501.8,9.79,140.03,60.6,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_06_event_012,machine_asset_06,data\multimodal\images\machine_asset_06_event_012.png,data\multimodal\audio\machine_asset_06_event_012.wav,54.89,2.146,1498.3,10.51,140.72,67.0,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_013,machine_asset_06,data\multimodal\images\machine_asset_06_event_013.png,data\multimodal\audio\machine_asset_06_event_013.wav,56.01,2.452,1506.2,11.1,52.63,68.9,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_06_event_014,machine_asset_06,data\multimodal\images\machine_asset_06_event_014.png,data\multimodal\audio\machine_asset_06_event_014.wav,105.69,6.524,1478.2,9.75,137.59,65.6,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_06_event_015,machine_asset_06,data\multimodal\images\machine_asset_06_event_015.png,data\multimodal\audio\machine_asset_06_event_015.wav,62.01,1.438,1505.1,9.66,139.48,75.3,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_016,machine_asset_06,data\multimodal\images\machine_asset_06_event_016.png,data\multimodal\audio\machine_asset_06_event_016.wav,58.56,10.289,1435.0,10.66,125.19,60.2,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_06_event_017,machine_asset_06,data\multimodal\images\machine_asset_06_event_017.png,data\multimodal\audio\machine_asset_06_event_017.wav,53.4,1.917,1488.7,10.09,57.05,69.2,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_06_event_018,machine_asset_06,data\multimodal\images\machine_asset_06_event_018.png,data\multimodal\audio\machine_asset_06_event_018.wav,51.77,8.834,1431.4,11.47,140.23,72.4,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_06_event_019,machine_asset_06,data\multimodal\images\machine_asset_06_event_019.png,data\multimodal\audio\machine_asset_06_event_019.wav,60.19,1.862,1519.9,11.49,137.41,65.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_020,machine_asset_06,data\multimodal\images\machine_asset_06_event_020.png,data\multimodal\audio\machine_asset_06_event_020.wav,57.78,1.826,1499.1,9.65,137.93,63.5,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_021,machine_asset_06,data\multimodal\images\machine_asset_06_event_021.png,data\multimodal\audio\machine_asset_06_event_021.wav,55.59,1.986,1496.3,10.06,43.79,73.2,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_06_event_022,machine_asset_06,data\multimodal\images\machine_asset_06_event_022.png,data\multimodal\audio\machine_asset_06_event_022.wav,55.36,2.212,1497.2,10.37,145.51,76.3,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_06_event_023,machine_asset_06,data\multimodal\images\machine_asset_06_event_023.png,data\multimodal\audio\machine_asset_06_event_023.wav,103.53,5.232,1508.5,9.65,146.78,70.2,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_06_event_024,machine_asset_06,data\multimodal\images\machine_asset_06_event_024.png,data\multimodal\audio\machine_asset_06_event_024.wav,56.25,1.378,1487.9,10.16,139.93,76.8,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_000,machine_asset_07,data\multimodal\images\machine_asset_07_event_000.png,data\multimodal\audio\machine_asset_07_event_000.wav,96.55,4.853,1489.3,10.64,133.61,62.1,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_07_event_001,machine_asset_07,data\multimodal\images\machine_asset_07_event_001.png,data\multimodal\audio\machine_asset_07_event_001.wav,60.64,1.224,1490.5,10.53,129.8,68.7,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_002,machine_asset_07,data\multimodal\images\machine_asset_07_event_002.png,data\multimodal\audio\machine_asset_07_event_002.wav,58.65,1.696,1480.7,9.57,42.76,72.3,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_07_event_003,machine_asset_07,data\multimodal\images\machine_asset_07_event_003.png,data\multimodal\audio\machine_asset_07_event_003.wav,57.52,1.77,1490.5,10.48,143.48,64.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_004,machine_asset_07,data\multimodal\images\machine_asset_07_event_004.png,data\multimodal\audio\machine_asset_07_event_004.wav,54.22,1.37,1490.7,9.95,47.88,69.8,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_07_event_005,machine_asset_07,data\multimodal\images\machine_asset_07_event_005.png,data\multimodal\audio\machine_asset_07_event_005.wav,102.44,4.804,1472.2,10.96,139.93,76.3,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_07_event_006,machine_asset_07,data\multimodal\images\machine_asset_07_event_006.png,data\multimodal\audio\machine_asset_07_event_006.wav,55.97,8.263,1495.3,10.57,143.89,63.3,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_07_event_007,machine_asset_07,data\multimodal\images\machine_asset_07_event_007.png,data\multimodal\audio\machine_asset_07_event_007.wav,109.44,4.903,1505.5,9.77,133.21,70.1,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_07_event_008,machine_asset_07,data\multimodal\images\machine_asset_07_event_008.png,data\multimodal\audio\machine_asset_07_event_008.wav,96.91,5.497,1512.1,9.75,144.24,65.5,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_07_event_009,machine_asset_07,data\multimodal\images\machine_asset_07_event_009.png,data\multimodal\audio\machine_asset_07_event_009.wav,49.78,2.276,1499.6,10.48,133.51,68.3,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_010,machine_asset_07,data\multimodal\images\machine_asset_07_event_010.png,data\multimodal\audio\machine_asset_07_event_010.wav,58.82,8.926,1497.8,9.64,141.57,60.8,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_07_event_011,machine_asset_07,data\multimodal\images\machine_asset_07_event_011.png,data\multimodal\audio\machine_asset_07_event_011.wav,54.7,1.683,1482.0,9.83,141.5,71.5,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_012,machine_asset_07,data\multimodal\images\machine_asset_07_event_012.png,data\multimodal\audio\machine_asset_07_event_012.wav,55.5,10.093,1441.5,11.08,144.35,73.8,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_07_event_013,machine_asset_07,data\multimodal\images\machine_asset_07_event_013.png,data\multimodal\audio\machine_asset_07_event_013.wav,53.42,1.761,1502.2,10.75,150.78,70.8,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_014,machine_asset_07,data\multimodal\images\machine_asset_07_event_014.png,data\multimodal\audio\machine_asset_07_event_014.wav,56.5,1.294,1492.3,10.61,145.08,58.3,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_015,machine_asset_07,data\multimodal\images\machine_asset_07_event_015.png,data\multimodal\audio\machine_asset_07_event_015.wav,54.06,1.901,1473.3,9.59,137.01,74.7,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_016,machine_asset_07,data\multimodal\images\machine_asset_07_event_016.png,data\multimodal\audio\machine_asset_07_event_016.wav,106.71,4.765,1503.0,10.96,145.17,74.2,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_07_event_017,machine_asset_07,data\multimodal\images\machine_asset_07_event_017.png,data\multimodal\audio\machine_asset_07_event_017.wav,48.01,7.67,1488.2,8.88,142.38,61.3,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_07_event_018,machine_asset_07,data\multimodal\images\machine_asset_07_event_018.png,data\multimodal\audio\machine_asset_07_event_018.wav,56.64,9.309,1504.9,10.93,137.55,69.8,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_07_event_019,machine_asset_07,data\multimodal\images\machine_asset_07_event_019.png,data\multimodal\audio\machine_asset_07_event_019.wav,63.24,2.072,1482.9,9.3,145.91,64.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_020,machine_asset_07,data\multimodal\images\machine_asset_07_event_020.png,data\multimodal\audio\machine_asset_07_event_020.wav,53.02,9.461,1422.1,9.83,139.72,76.3,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_07_event_021,machine_asset_07,data\multimodal\images\machine_asset_07_event_021.png,data\multimodal\audio\machine_asset_07_event_021.wav,54.11,9.233,1492.3,11.0,145.61,70.9,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_07_event_022,machine_asset_07,data\multimodal\images\machine_asset_07_event_022.png,data\multimodal\audio\machine_asset_07_event_022.wav,65.83,1.632,1499.5,9.85,142.67,73.9,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_07_event_023,machine_asset_07,data\multimodal\images\machine_asset_07_event_023.png,data\multimodal\audio\machine_asset_07_event_023.wav,49.22,8.443,1481.5,10.39,144.93,71.7,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_07_event_024,machine_asset_07,data\multimodal\images\machine_asset_07_event_024.png,data\multimodal\audio\machine_asset_07_event_024.wav,57.78,1.712,1513.2,8.8,138.84,69.5,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_08_event_000,machine_asset_08,data\multimodal\images\machine_asset_08_event_000.png,data\multimodal\audio\machine_asset_08_event_000.wav,102.19,5.655,1498.4,10.18,143.24,73.6,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_001,machine_asset_08,data\multimodal\images\machine_asset_08_event_001.png,data\multimodal\audio\machine_asset_08_event_001.wav,52.19,1.276,1490.0,9.71,38.0,68.2,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_08_event_002,machine_asset_08,data\multimodal\images\machine_asset_08_event_002.png,data\multimodal\audio\machine_asset_08_event_002.wav,94.99,4.381,1497.5,9.6,138.54,73.6,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_003,machine_asset_08,data\multimodal\images\machine_asset_08_event_003.png,data\multimodal\audio\machine_asset_08_event_003.wav,54.65,1.849,1498.5,9.86,130.08,71.6,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_08_event_004,machine_asset_08,data\multimodal\images\machine_asset_08_event_004.png,data\multimodal\audio\machine_asset_08_event_004.wav,95.72,5.058,1496.7,10.75,126.39,72.8,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_005,machine_asset_08,data\multimodal\images\machine_asset_08_event_005.png,data\multimodal\audio\machine_asset_08_event_005.wav,54.74,2.118,1489.0,9.39,49.98,63.8,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_08_event_006,machine_asset_08,data\multimodal\images\machine_asset_08_event_006.png,data\multimodal\audio\machine_asset_08_event_006.wav,99.41,5.016,1510.3,10.24,130.19,71.3,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_007,machine_asset_08,data\multimodal\images\machine_asset_08_event_007.png,data\multimodal\audio\machine_asset_08_event_007.wav,57.01,1.404,1481.0,10.58,33.37,70.2,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_08_event_008,machine_asset_08,data\multimodal\images\machine_asset_08_event_008.png,data\multimodal\audio\machine_asset_08_event_008.wav,99.15,5.615,1503.0,10.67,136.6,67.0,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_009,machine_asset_08,data\multimodal\images\machine_asset_08_event_009.png,data\multimodal\audio\machine_asset_08_event_009.wav,53.22,1.461,1479.2,9.28,144.56,70.4,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_08_event_010,machine_asset_08,data\multimodal\images\machine_asset_08_event_010.png,data\multimodal\audio\machine_asset_08_event_010.wav,57.12,8.253,1492.5,9.82,142.64,65.2,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_08_event_011,machine_asset_08,data\multimodal\images\machine_asset_08_event_011.png,data\multimodal\audio\machine_asset_08_event_011.wav,93.81,4.933,1494.9,10.54,139.06,72.1,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_012,machine_asset_08,data\multimodal\images\machine_asset_08_event_012.png,data\multimodal\audio\machine_asset_08_event_012.wav,56.34,2.3,1498.9,9.19,142.36,67.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_08_event_013,machine_asset_08,data\multimodal\images\machine_asset_08_event_013.png,data\multimodal\audio\machine_asset_08_event_013.wav,99.89,6.26,1488.7,10.69,142.23,74.5,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_014,machine_asset_08,data\multimodal\images\machine_asset_08_event_014.png,data\multimodal\audio\machine_asset_08_event_014.wav,95.02,5.66,1483.9,10.16,143.58,76.2,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_015,machine_asset_08,data\multimodal\images\machine_asset_08_event_015.png,data\multimodal\audio\machine_asset_08_event_015.wav,56.15,10.691,1420.8,10.22,141.31,66.3,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_08_event_016,machine_asset_08,data\multimodal\images\machine_asset_08_event_016.png,data\multimodal\audio\machine_asset_08_event_016.wav,56.8,8.67,1396.5,11.01,145.26,64.0,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_08_event_017,machine_asset_08,data\multimodal\images\machine_asset_08_event_017.png,data\multimodal\audio\machine_asset_08_event_017.wav,95.8,6.453,1501.6,9.88,143.67,78.3,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_018,machine_asset_08,data\multimodal\images\machine_asset_08_event_018.png,data\multimodal\audio\machine_asset_08_event_018.wav,51.83,1.825,1485.7,9.94,136.54,72.8,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_08_event_019,machine_asset_08,data\multimodal\images\machine_asset_08_event_019.png,data\multimodal\audio\machine_asset_08_event_019.wav,55.69,10.67,1389.0,10.23,145.69,64.3,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_08_event_020,machine_asset_08,data\multimodal\images\machine_asset_08_event_020.png,data\multimodal\audio\machine_asset_08_event_020.wav,52.47,7.646,1492.7,10.3,141.59,70.1,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_08_event_021,machine_asset_08,data\multimodal\images\machine_asset_08_event_021.png,data\multimodal\audio\machine_asset_08_event_021.wav,56.18,2.117,1503.7,10.23,134.42,78.3,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_08_event_022,machine_asset_08,data\multimodal\images\machine_asset_08_event_022.png,data\multimodal\audio\machine_asset_08_event_022.wav,52.5,1.499,1481.7,9.87,141.53,62.0,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_08_event_023,machine_asset_08,data\multimodal\images\machine_asset_08_event_023.png,data\multimodal\audio\machine_asset_08_event_023.wav,95.11,5.669,1473.0,10.51,147.85,62.5,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_08_event_024,machine_asset_08,data\multimodal\images\machine_asset_08_event_024.png,data\multimodal\audio\machine_asset_08_event_024.wav,60.27,1.748,1501.3,9.86,50.59,77.8,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
